YEAR,Presidential_election,national_VOTER_TURNOUT_PCT_summary,national_median_VOTER_TURNOUT_PCT,Hutch_VOTER_TURNOUT_PCT,Hutch_VOTER_TURNOUT_percentile
2000,1,Min.: NA | 1st Qu.: NA | Median: NA | Mean: NaN | 3rd Qu.: NA | Max.: NA | NA's: 3112,NA,NA,NA
2002,0,Min.: NA | 1st Qu.: NA | Median: NA | Mean: NaN | 3rd Qu.: NA | Max.: NA | NA's: 1032,NA,NA,NA
2004,1,Min.: 0 | 1st Qu.: 0.5376885831355 | Median: 0.604093968868 | Mean: 0.600117124475438 | 3rd Qu.: 0.6757076084615 | Max.: 0.980000019073 | NA's: 11,0.604093968868,0.559053957462,32.96809539155656
2006,0,Min.: 0 | 1st Qu.: 0.2807319760325 | Median: 0.394532829523 | Mean: 0.358411539645965 | 3rd Qu.: 0.501886039972 | Max.: 0.980000019073 | NA's: 6,0.394532829523,0.424194812775,56.96813646604441
2008,1,Min.: 0 | 1st Qu.: 0.54067453742025 | Median: 0.6076805889605 | Mean: 0.592193991391525 | 3rd Qu.: 0.66953189671025 | Max.: 0.980000019073 | NA's: 80,0.6076805889604999,0.555518805981,30.19116677653263
2010,0,Min.: 0 | 1st Qu.: 0.37272307276725 | Median: 0.4311001747845 | Mean: 0.438016245056693 | 3rd Qu.: 0.4984862878915 | Max.: 0.980000019073,0.4311001747845,0.387184798717,30.50738599871548
2012,1,Min.: 0 | 1st Qu.: 0.52096188068375 | Median: 0.591344714165 | Mean: 0.586084635709354 | 3rd Qu.: 0.66198049485675 | Max.: 0.980000019073,0.591344714165,0.522343933582,25.658317276814387
2014,0,Min.: 0 | 1st Qu.: 0.3109111115335 | Median: 0.389474347234 | Mean: 0.393036088591724 | 3rd Qu.: 0.47842498868675 | Max.: 0.980000019073 | NA's: 2,0.389474347234,0.405500352383,54.88431876606684
2016,1,Min.: 0 | 1st Qu.: 0.5065379738805 | Median: 0.5826372802255 | Mean: 0.534803043620633 | 3rd Qu.: 0.65086124837425 | Max.: 0.980000019073 | NA's: 6,0.5826372802255,0.524688899517,30.501930501930502
2018,0,Min.: -1 | 1st Qu.: 0.42286834120775 | Median: 0.4827495515345 | Mean: 0.479725384624334 | 3rd Qu.: 0.5548036396505 | Max.: 0.980000019073 | NA's: 10,0.4827495515345,0.44313955307,33.53737113402062
2020,1,Min.: -1 | 1st Qu.: 0.567514836788 | Median: 0.639081180096 | Mean: 0.627269408390215 | 3rd Qu.: 0.7078434824945 | Max.: 0.980000019073 | NA's: 12,0.639081180096,0.585919499397,30.19658395101515
2022,0,Min.: -1 | 1st Qu.: 0.382341876626 | Median: 0.461347728968 | Mean: 0.456955748613165 | 3rd Qu.: 0.536935389042 | Max.: 0.980000019073 | NA's: 5,0.461347728968,0.434596449137,40.83145343216243
